sent_id,text,distance,root_lemma,root_surface,root_idx,n_tokens,surprisal_small,surprisal_medium,surprisal_large
train-s159,研究と資料に基づく精密な絵、イラストを製作する技量をもった理科系画家が、日本出版美術家連盟から分離する形で結成した。,16,結成,結成,33,36,5.1015625,3.515625,5.48046875
train-s165,明日宿泊しますが、評価が変わる対応を期待しています。,5,期待,期待,12,17,3.099609375,4.12109375,6.19140625
train-s166,"結果的に1940年から1945年にかけて、およそ52,000台のキューベルワーゲンが製造された。",2,製造,製造,22,26,2.71875,8.3203125,1.1728515625
train-s168,その後、テレビ愛知に入社し、アナウンサーと記者を兼務していた。,2,兼務,兼務,14,19,0.48193359375,2.076171875,2.591796875
train-s169,私は前から入店してみたかったのですが、なかなか機会がなかったので、先日初来店の際にはテンションが上がっちゃいました!,10,上がる,上がっ,32,36,3.9892578125,8.8984375,6.236328125
train-s171,但し、この場合、選任される清算人の報酬費用等を予納する必要があり、かなりの負担となるのであまり利用されていない。,14,利用,利用,30,36,5.03515625,4.70703125,4.2109375
train-s172,この名称は、使用される280MHz帯が建物内や地下鉄などでも到達可能な電波伝達力に由来する。,10,由来,由来,27,29,7.05078125,6.9296875,7.16015625
train-s173,めずらしい種類がたくさんあり、ここのお店だけ楽しめるデザートになってると思います。,13,思う,思い,18,20,1.76953125,9.2578125,1.9111328125
train-s175,移動が高空属性であり、移動力自体も抜群であり、占領任務に大活躍する。,10,活躍,活躍,20,22,2.423828125,1.666015625,3.59765625
train-s176,最大どれだけの大きさの船が、あるいは喫水がどれだけの船がその区間によって異なっている。,12,異なる,異なっ,24,27,7.73828125,19.8046875,10.296875
train-s180,終点の芋窪は、西武バス・都営バスの「貯水池下」停留所とほぼ同じ場所にあるが、西武・都営にも芋窪停留所があり、これは貯水池下停留所の一つ東にある。,9,有る,ある,48,49,2.34375,2.1171875,2.294921875
train-s181,252年の孫権臨終の際、諸葛恪・孫峻と共に後事を託されている。,2,託する,託さ,18,22,4.5625,1.94384765625,2.7781982421875
train-s184,殺害遺品を所有する者のことで、基本的に殺人鬼の子孫が選ばれる。,14,選ぶ,選ば,19,21,4.421875,8.9296875,5.34375
train-s185,「ネヴィ」を操る特殊能力を持つ。,5,持つ,持つ,9,10,1.84765625,5.33984375,3.5390625
train-s186,船が静止している状態では、船体には重力と浮力の二つの力が加わる。,16,加わる,加わる,23,24,3.75341796875,13.1904296875,7.4453125
train-s187,著書中で、当時処刑に対して同情を集めていた近藤勇を思い切り批判する。,7,批判,批判,20,22,3.71875,1.6328125,2.638671875
train-s188,日共岩見沢の白骨が教えている。,2,教える,教え,6,9,10.03125,9.03125,12.1640625
train-s190,当時、別会社のホテルの従業員でツインを使用した事もありますが、部屋は十分な広さでバスルームも快適だったと思います。,16,思う,思い,35,37,2.2890625,19.765625,6.54296875
train-s193,1948-49シーズンにはレアル・マドリードに移籍し、1950年11月5日にはクラブの通算1000点目を決めた。,2,決める,決め,29,31,4.66015625,3.97265625,3.203125
train-s195,"一方の産経新聞グループでデジタル事業を担当する産経デジタルの担当者は,本紙の取材に対し,こう語っています。",13,語る,語っ,26,30,4.28515625,8.728515625,5.521484375
train-s198,上級生の豊富な経験と下級生の高い能力が融合することで、もっともっと強いチームになれる。,11,成る,なれる,24,25,3.60888671875,10.578125,2.134765625
train-s201,奥には鍾乳洞があり、万年氷を入手出来る。,5,入手,入手,13,15,12.3046875,13.1328125,12.625
train-s202,英語を通してコミュニケーションすることの楽しさが学べます。,10,学ぶ,学べ,12,14,3.93212890625,4.046028137207031,5.4580078125
train-s203,ビジネスクラスはフィンランドを代表するブランド「イッタラ」や「アラビア」、「マリメッコ」の食器を使用している。,11,使用,使用,23,27,5.67578125,2.80859375,5.140625
train-s208,1週間ほど頭痛と肩こりがひどく、吐き気もするほどだったので、初めて行ってみました。,8,行く,行っ,20,25,5.3046875,6.65625,6.1591796875
train-s211,セントルイス・ラムズが2巡全体33位で彼を指名する可能性があることから、ナイナーズが1巡で指名したと考えられたが、この指名には疑問の声があがった。,29,上がる,あがっ,44,46,2.37890625,3.740234375,4.18603515625
train-s212,短距離走、槍投げ、走り幅跳び、円盤投げ、ハードルで、スコアを競う。,2,競う,競う,18,19,4.16796875,0.798828125,0.9375
train-s213,ここで検討対象のひとつに挙がっている民間療法に“ホメオパシー”があります。,2,有る,あり,19,21,0.10003662109375,1.2783203125,0.794921875
train-s220,大学3年終了後、1999年のNBAドラフトに1巡目7位でワシントン・ウィザーズから指名を受け入団した。,3,入団,入団,26,29,1.130859375,0.57373046875,2.716796875
train-s225,グループホームでは、介護職員の過酷な勤務状況、虐待、安全対策が問題となることがある。,4,成る,なる,21,25,4.69140625,5.2421875,4.41796875
train-s232,"総投票37,585票のうち、37,089票が統合に賛成したのである。",4,賛成,賛成,17,23,0.061370849609375,0.2003173828125,0.1126708984375
train-s236,2人は犯行を否認したが、Bが「Aが射殺した」と供述したこと、パナマ帽をAに買い与えたとする台湾人の証言を得たことを証拠に殺人罪で起訴した。,32,起訴,起訴,48,51,0.818359375,0.1556396484375,0.274658203125
train-s237,公定歩合の引き上げが伝わると、ドルは上げ幅を拡大した。,8,拡大,拡大,13,16,3.763671875,0.744140625,0.59423828125
train-s242,何代か前の王が建てた玻璃宮がある。,6,有る,ある,13,14,6.53125,6.64453125,5.27734375
train-s246,プレイヤーのほかプロデューサー、アレンジャーとしても実績がある。,2,有る,ある,13,14,2.033203125,2.451171875,2.48046875
train-s247,その後は重賞戦線を走り、ダービー卿チャレンジトロフィーで4着、新潟大賞典は1番人気で2着、兄弟制覇が期待されたエプソムカップでは1番人気で3着となるなど安定した走りを見せたが勝利は挙げられずに降級となった。,37,成る,なっ,62,64,1.84765625,20.1328125,1.69921875
train-s248,他のクラウンで覚えたアビリティを使うことができる。,2,使う,使う,9,13,4.2421875,6.04296875,4.94140625
train-s251,"貴市および貴財団では,本申入にかかる事実が判っても,今後もAPTFによる使用を許可し続けるのですか。",10,許可,許可,26,32,2.287109375,5.27734375,4.5546875
train-s253,1953年まで州議会議員を務めた後、市長に転身したノリス・ポールソンの議席を争う補欠選挙に勝利し、下院議員となる。,20,成る,なる,33,34,4.16796875,4.19140625,3.3046875
train-s255,競技形式は日本のものを取り入れているが、スタートタイミングが2秒以上で出遅れとなるなど若干の違いがある。,16,有る,ある,29,30,0.8662109375,0.78076171875,0.450439453125
train-s256,ハーベスターは脱穀機にエンジンと自走できるための移動用クローラを取り付けたもので、米の場合、刈り取った稲から藁を取り除いて籾に仕上げる工程で使用される。,22,使用,使用,38,41,7.24609375,5.51953125,5.0
train-s258,海外から来た友達や、旅館に泊まったことのない若い人を連れて行くと喜ばれます。,6,喜ぶ,喜ば,22,25,2.60400390625,4.1640625,5.1640625
train-s259,同じテーブル“T”に対して、SQL文SELECT C 1 FROM T;を実行すると、テーブル“T”のすべての行の列C1のみが返される。,12,返す,返さ,37,39,5.2470703125,8.0390625,3.0654296875
train-s260,"“イエスのショッピング”は,かつて本紙でも紹介したことがあるコミケに反対するキリスト教会を彷彿とさせます。",4,為る,さ,27,30,2.94921875,2.8671875,1.3359375
train-s265,最終的には自分の臀部の肉が外にはみ出した状態で座るだけにとどまる。,10,留まる,とどまる,20,21,9.640625,7.61328125,9.6953125
train-s267,「つる家」を強引に廃業に追い込もうとするも、小松原の「土圭の間の小野寺」としての忠告を聞き、強引な手を使わなくなった。,27,成る,なっ,38,40,3.16796875,18.23828125,2.916015625
train-s270,1973年から、10月の各賞受賞者発表時点で生存している必要があるが、その後死亡しても取り消されないことになり、その規定により1996年経済学賞のウィリアム・ヴィックリーは授賞式前に亡くなっても受賞が取り消されなかった。,23,取り消す,取り消さ,59,63,0.8642578125,8.245086669921875,5.68109130859375
train-s275,"その裁判の傍聴を再三連絡しているが,彼は黙って口を拭ったまま何らの対外的な声明も公式に発表しない。",22,発表,発表,32,35,0.37841796875,1.2412109375,0.7451171875
train-s277,必ずフィオとコンビを組まされ、仕事の情報を与えられない。,8,与える,与え,13,16,6.0390625,4.15234375,6.515625
train-s280,その後、副露もしくは暗槓を行うごとに3枚ずつ減っていく。,7,減る,減っ,14,17,4.986083984375,6.6875,5.5146484375
train-s282,古巣・ジェノアとの開幕戦で決勝ゴールを挙げると、11月16日のトリノ戦では自身初のハットトリックを達成し、カターニアのセリエA通算100勝に貢献した。,19,貢献,貢献,41,44,3.55078125,4.25,1.6123046875
train-s285,同人音楽活動としてオリジナル楽曲を作成し発売しているほか、アニメやPCゲームのBGMや主題歌を制作し提供している。,17,提供,提供,30,34,4.57421875,5.5234375,4.421875
train-s286,連歌師の宗長・宗碩に師事し、各地を旅した。,2,旅,旅,13,16,2.1484375,2.78515625,3.25
train-s287,5月28日から順次設置を開始しました。,2,開始,開始,9,13,4.83984375,5.71875,6.90234375
train-s289,伯爵夫人に母の影を見ているようである。,2,見る,見,8,14,3.96484375,4.9140625,5.140625
train-s292,黄身と白身が共に平円状となり、見た目が目玉のようになることからそう呼ばれる。,17,呼ぶ,呼ば,24,26,0.33349609375,0.61962890625,2.587890625
train-s293,医療保険が適用されない治療が多く、患者にとって治療は大きな経済的負担となっている。,14,成る,なっ,23,26,3.58203125,16.4921875,5.3203125
train-s294,部外者の発言を規制する動きに対し、防衛省・自衛隊内部からは「民主党政権を批判したからであり、言論封殺ではないか」と疑問と反発の声が上がっている。,20,上がる,上がっ,46,49,0.65576171875,0.6859130859375,1.6240234375
train-s295,主にロシアやフランスの映画で活躍しており、特に1994年に製作されたニキータ・ミハルコフの『太陽に灼かれて』ではヨーロッパ中で高い評価を受けた。,2,受ける,受け,40,42,5.234375,13.2421875,2.310546875
train-s297,彼らは自分らが行うべき任務について知らされた上で自主的に志願しており、任務説明後に参加を辞退することも認められていたが、辞退する隊員はいなかったという。,28,言う,いう,51,52,2.603515625,1.6953125,1.658203125
train-s298,このような関係をイラスト集にてサクラといのの関係はナルトとサスケと対比させていると作者がコメントしている。,18,コメント,コメント,27,31,2.3046875,3.4453125,3.47265625
train-s300,欧米では頭文字を取って「SMT」と略される。,6,略す,略さ,15,17,4.40234375,1.927734375,4.3818359375
train-s301,しかし、赫が突如インターハイへの出場を決め、新宮は「真岡・笹宮・赫の組は完全に隙がなくなる」と評している。,20,評する,評し,32,35,6.0078125,7.439453125,6.546875
train-s303,県警は、汚名返上に向けて取り締まりを強化している。,2,強化,強化,11,15,0.6552734375,0.8935546875,1.0830078125
train-s304,1923年、オスマン通りという新たな大通りを建設するため、ロベール=ウーダン劇場が取り壊された。,7,取り壊す,取り壊さ,21,24,2.029296875,5.972358703613281,6.18267822265625
train-s305,転じて、640x480ピクセルの画面解像度を俗に「VGA」と呼ぶようにもなった。,8,成る,なっ,23,25,0.65478515625,7.357421875,0.2734375
train-s308,この事件の責任を取って渡邉恒雄がジャイアンツのオーナー職を辞任、一場も明治大学野球部を退部し、当面謹慎を余儀なくされた。,21,為る,さ,33,36,5.00390625,0.47998046875,5.6484375
train-s311,付属のDVDには、1988年1月21日に行われた目黒鹿鳴館でのライヴ映像を収録している。,2,収録,収録,25,29,2.154296875,2.02734375,2.443359375
train-s312,"流産や死産のとき,身体がバラバラになるところを,寒空の中説明され,身も心もガクガクブルブルと震える。",19,震える,震える,29,30,2.853271484375,3.34716796875,3.6572265625
train-s313,予選トップのタイムをマークし決勝進出を決めます。,6,決める,決め,11,13,3.6015625,2.05078125,6.1171875
train-s315,"しかし,進化論を否定し,神の天地創造を教えるなどの,全てを宗教に染めあげる教育は明らかに間違っています。",19,間違う,間違っ,27,31,2.123046875,18.087890625,3.85205078125
train-s316,"しばらく居ると,極彩色の光にあてられたのか,冬の風に銀色のリボンが舞うのを,美しいと思えるようになっていた。",8,成る,なっ,33,37,4.56640625,22.36328125,4.29296875
train-s317,歳出の無制限な増大を抑制するほか、国の重点投資項目を内外に示す意義も持つ。,14,持つ,持つ,23,24,4.5,3.57421875,2.6328125
train-s319,10月23日、新原は密約の原本を発見した。,2,発見,発見,12,15,4.44140625,3.134765625,6.09765625
train-s323,翌20日8時10分、片岡湾を目指すソ連艦隊6隻が幌筵海峡に進入を試みた。,9,試みる,試み,23,25,7.671875,8.66259765625,6.7265625
train-s324,"西アフリカ地域では、西アフリカ諸国経済共同体Economic Communitiy of West African States,略称:ECOWAS)を結成し、西アフリカ諸国が密接して経済発展に寄与する機関を設置している。",14,設置,設置,42,46,5.765625,2.927734375,2.51953125
train-s325,会社、企業、事業体、機関、団体によって行われる社会に危害を及ぼす行為のうち、法律で犯罪と規定されているものを「単位犯罪」という。,16,言う,いう,41,42,2.140625,2.05078125,1.4072265625
train-s329,"新健康協会の会員が薬を飲まない理由に関連しそうな説明が,“健康新聞”にコラムとして載ったことがあります。",16,乗る,載っ,29,35,4.80859375,4.859375,3.9052734375
train-s332,その後、ローテーション入りしたが、球団は酷使を防ぐため、9月12日の登板を最後にシーズンを終えた。,12,終える,終え,28,30,5.671875,22.11328125,4.984375
train-s334,東京電力は26日14時10分に報告していたが、その時点で事故から22時間経過していたことを大熊町は強く批判し、「地元をないがしろにし、場合によってはその信用を失ってもやむをえない」と述懐している。,23,述懐,述懐,63,67,7.84912109375,8.966552734375,11.1201171875
train-s336,半面、塩水糖、アルコニクス、山洋電が下げた。,2,下げる,下げ,11,13,11.015625,18.3828125,12.88671875
train-s338,安楽区は清代に基隆堡と称されており、日本統治時代初期には大武崙庄、蚵殼港庄、外加內木山庄、大竿林庄が設置され基隆庁の管轄に置かれ清代の行政区域を踏襲していた。,14,踏襲,踏襲,49,54,4.6875,5.34829568862915,4.9375
train-s343,いつもインドカレー屋さんに行くとカレーを付けずに焼きたてのバターナンを食べて、それからたいていシュリンプカレーしか頼みませんでした。,15,頼む,頼み,29,34,4.61328125,3.953125,4.796875
train-s344,新婚旅行では再びファーモイを訪れている。,2,訪れる,訪れ,8,11,3.423828125,5.9248046875,6.0654296875
train-s345,神田川が地域東端を流れており、中野区と当地域の境となっている。,12,成る,なっ,19,22,1.232421875,13.35546875,2.1875
train-s348,法戦は数日に及んだが、ついに道元の所見が優れていることを認め、道元の方が2歳年下ではあったが、師事を願いでる。,15,願い出る,願いでる,37,38,10.7890625,7.794921875,12.98828125
train-s350,「音楽写真家」を標榜している。,2,標榜,標榜,7,11,3.1090211868286133,2.79058837890625,5.84765625
train-s351,しかも感染もしていて歯茎が腫れ上がったりと、本当に酷い目に遭いました。,9,会う,遭い,19,22,1.1220703125,4.21875,1.59326171875
train-s352,始発は入間川発が4時50分、飯能発が3時20分、一方終発は入間川発が20時15分、飯能発が19時55分と、早朝から運転し始めて夜早く終了するダイヤとなっていた。,26,成る,なっ,51,55,4.58984375,20.95703125,4.7578125
train-s355,ウラン濃縮プラント・プルトニウム生産炉の各巨大工場の建設、そしてオッペンハイマーが率いる優秀な科学者を全米から集め、アメリカの軍・産・学の総力を挙げた国家プロジェクトとなった。,20,成る,なっ,43,45,5.609375,18.0625,4.484375
train-s358,大会HPについては統一教会ではなく本部の実行委員会が作成しているそうだ。,2,作成,作成,18,24,7.3828125,2.220703125,2.087890625
train-s359,まず店員一人で全部やってる事に無理がある。,2,有る,ある,12,13,0.259765625,0.87841796875,0.88916015625
train-s362,17年前にウィスラー王宮内で秘密裏に起きた“ある事件”に深く関与しており、自らの悲願を達成させる為、とある場所にてミネルバ達と対峙する。,10,対峙,対峙,40,42,2.875,1.9898681640625,2.19921875
train-s364,千葉県教育委員会は22日、公立学校教員5人が求めていた勤務評定の全面開示を認める決定をした。,11,為る,し,29,31,1.376953125,0.74755859375,0.69189453125
train-s365,「ヒマラヤのケーキ」として、また「本丸シュークリーム」・生チョコレート「美術館の石畳」・チョコレート菓子「コーチンエッグ」・「ナゴヤプリン」・赤味噌を用いた「みそサブレ」などの特色ある商品でも知られた。,10,知る,知ら,54,57,2.708984375,11.328125,4.875
train-s366,学生時代に電磁気学の実験で200V三相交流モーターと交流発電機を直結して、入出力比をとるというのをやったことがありますが、前世紀の学生実験のレベルですでに97%だとか98%みたいな効率が出ていた記憶があります。,27,有る,あり,67,69,0.080078125,0.23583984375,0.40234375
train-s367,これが暴力漫画一辺倒であった雁屋にとっての転換点となり、『美味しんぼ』のヒットの伏線となる。,15,成る,なる,27,28,2.802734375,5.73046875,2.32421875
train-s368,天井のカビが前からひどかったので、さすがにそこは無理だろうとあきらめていましたが、先週実家に帰ったらそのカビもかなりきれいに落ちていました。,25,落ちる,落ち,37,42,5.34375,2.203125,3.138671875
train-s370,20世紀初頭には建設が盛んに行われたが、イクルの町は緑の地域を何箇所かそのままの姿で残しておくことに成功し、現在ブリュッセル地域の多くの富豪を惹きつける結果となっている。,37,成る,なっ,50,53,0.6298828125,10.76953125,0.55517578125
train-s371,総面積の2.08%が水地域となっている。,4,成る,なっ,12,15,1.900390625,16.08984375,2.662109375
train-s372,雪印工場をフル稼動しても間に合わない程の売れ行きを見せ、女子高生を中心に人気があった。,15,有る,あっ,25,27,4.5078125,7.88671875,5.13671875
train-s377,謂れのない嫉妬を受けることがある。,2,受ける,受ける,6,10,6.36328125,16.0625,7.078125
train-s378,普通に入館すると1500円とかなりお高い入館料ですが、回数券を使えば1000円で入れます。,6,入る,入れ,25,27,2.736328125,2.84765625,3.783203125
